id,name
1,C++
2,Python
3,C
4,M4
5,Shell
6,Makefile
7,Other
8,Go
9,JavaScript
10,Assembly
11,Java
12,Sage
13,CMake
14,Solidity
15,TypeScript
16,Rust
17,Ruby
18,Dockerfile
19,Handlebars
20,PHP
21,RPC
22,PLpgSQL
23,PureBasic
24,HTML
25,Kotlin
26,Starlark
27,Haskell
28,Nix
29,Jsonnet
30,Move
31,HCL
32,WebAssembly
33,SCSS
34,Clarity
35,Mustache
36,Vue
37,CSS
38,C#
39,Cadence
40,Vyper
41,TLA
42,Svelte
43,SMT
44,TeX
45,OCaml
46,Reason
47,Standard ML
48,Swift
49,PEG.js
50,Erlang
51,Cuda
52,Hack
53,PLSQL
54,ShaderLab
55,HLSL
56,Scala
57,MDX
58,Pact
59,PowerShell
60,Smarty
61,Perl
62,Rich Text Format
63,Lua
64,Clojure
