id,currency_id,language_id,percentage
1,1,1,65.2
2,1,2,19.6
3,1,3,10.8
4,1,4,1.3
5,1,5,1
6,1,6,0.9
7,1,7,1.2
8,2,8,89.5
9,2,3,5.1
10,2,9,3.3
11,2,10,0.7
12,2,11,0.2
13,2,12,0.2
14,2,7,1
15,4,8,91.6
16,4,3,4
17,4,9,2.7
18,4,10,0.6
19,4,11,0.2
20,4,12,0.2
21,4,7,0.7
22,5,1,73.8
23,5,3,24
24,5,13,0.6
25,5,5,0.3
26,5,9,0.2
27,5,11,0.2
28,5,7,0.9
29,6,9,59.7
30,6,14,21.7
31,6,15,18.5
32,6,5,0.1
33,8,1,67.5
34,8,2,15.8
35,8,3,10.2
36,8,4,2.7
37,8,6,1.3
38,8,5,0.7
39,8,7,1.8
40,9,16,96.2
41,9,5,2.4
42,9,3,0.9
43,9,1,0.2
44,9,2,0.1
45,9,6,0.1
46,9,7,0.1
47,10,11,99.5
48,10,7,0.5
49,11,16,99.2
50,11,5,0.6
51,11,17,0.1
52,11,18,0.1
53,11,9,0
54,11,19,0
55,13,8,90
56,13,3,4.7
57,13,9,3.1
58,13,10,0.7
59,13,5,0.3
60,13,11,0.2
61,13,7,1
62,14,1,97.4
63,14,13,1.7
64,14,11,0.2
65,14,2,0.2
66,14,20,0.2
67,14,3,0.1
68,14,7,0.2
69,15,1,62
70,15,2,16
71,15,3,11.2
72,15,10,6.3
73,15,4,1.6
74,15,5,1.1
75,15,7,1.8
76,16,8,100
77,17,9,78.9
78,17,14,21.1
79,20,8,99.5
80,20,7,0.5
81,21,3,52.5
82,21,1,45.8
83,21,21,0.4
84,21,4,0.4
85,21,16,0.4
86,21,5,0.2
87,21,7,0.3
88,22,8,70.8
89,22,14,15.9
90,22,15,11.7
91,22,5,0.8
92,22,22,0.6
93,22,6,0.1
94,22,7,0.1
95,23,14,59.5
96,23,9,40
97,23,6,0.5
98,24,15,50.6
99,24,14,47.8
100,24,7,1.6
101,26,1,81.9
102,26,3,11.8
103,26,2,2.9
104,26,13,2
105,26,6,0.5
106,26,5,0.4
107,26,7,0.5
108,28,8,91.3
109,28,3,6.8
110,28,11,0.3
111,28,12,0.3
112,28,6,0.3
113,28,10,0.3
114,28,7,0.7
115,29,9,99.2
116,29,7,0.8
117,30,11,85.2
118,30,23,12
119,30,24,1.2
120,30,14,1.1
121,30,25,0.3
122,30,5,0.1
123,30,7,0.1
124,31,16,89.1
125,31,2,3.4
126,31,26,2.5
127,31,5,2.1
128,31,27,1.6
129,31,15,0.4
130,31,7,0.9
131,32,8,98.8
132,32,5,0.5
133,32,14,0.5
134,32,6,0.1
135,32,18,0.1
136,32,24,0
137,33,8,75.4
138,33,15,8.5
139,33,14,6.7
140,33,3,4.6
141,33,9,3
142,33,10,0.4
143,33,7,1.4
144,34,9,70.8
145,34,14,27.2
146,34,5,1.2
147,34,8,0.8
148,34,18,0
149,34,24,0
150,35,8,66.1
151,35,2,24.5
152,35,28,4.1
153,35,29,1.6
154,35,6,1.5
155,35,5,1.2
156,35,7,1
157,36,16,52.1
158,36,30,38.9
159,36,15,4.6
160,36,2,2.7
161,36,31,0.8
162,36,5,0.3
163,36,7,0.6
164,38,8,83.3
165,38,16,13.5
166,38,32,1.2
167,38,6,0.7
168,38,3,0.6
169,38,18,0.5
170,38,7,0.2
171,39,8,96
172,39,10,1.7
173,39,14,1.1
174,39,9,0.5
175,39,3,0.4
176,39,24,0.2
177,39,7,0.1
178,40,16,86.1
179,40,2,10.8
180,40,15,1.8
