coin_id,commits_count,contributors_count,forks_count,stars_count
1,38515,916.0,35610,71205
2,14469,935.0,18380,43512
4,13833,300.0,1287,2295
5,12889,110.0,1477,4350
6,836,17.0,266,435
8,14211,272.0,2802,14317
9,23522,458.0,3150,10562
10,18112,189.0,1359,3441
11,4251,271.0,1629,7027
13,14233,614.0,443,856
14,472,32.0,538,1980
15,26765,,35610,4225
16,61,10.0,21,35
17,98,10.0,89,116
20,9138,88.0,538,1878
21,8834,89.0,1051,3068
22,21848,178.0,1427,4990
23,10,5.0,95,133
24,1516,27.0,134,314
26,11347,270.0,3532,8079
28,11671,452.0,2954,5400
29,6425,81.0,209,155
30,8306,78.0,86,225
31,18671,148.0,259,1342
32,19813,208.0,1287,2681
33,916,28.0,52,117
34,3980,33.0,170,298
35,424,19.0,372,457
36,19028,453.0,3808,5432
38,9089,42.0,243,521
39,3340,20.0,248,772
40,5787,127.0,512,2096
41,12883,175.0,2369,4441
42,51,10.0,367,820
43,2145,27.0,430,637
44,1414,20.0,114,288
45,4018,99.0,425,1273
46,11390,,18380,47
51,19606,85.0,641,2817
52,27020,44.0,190,886
53,22491,61.0,49,93
54,1985,8.0,85,357
56,3721,16.0,37,46
57,3346,33.0,71,212
58,18725,468.0,295,594
59,84,8.0,57,156
63,55,9.0,95,162
64,1412,62.0,1019,3433
65,263,4.0,15,44
66,1388,36.0,300,405
67,9,4.0,38,48
69,26094,691.0,712,1125
70,33986,65.0,152,500
71,2574,16.0,191,836
74,5905,43.0,173,350
76,661,14.0,151,383
77,11725,53.0,132,267
78,17949,490.0,2042,4776
79,13151,43.0,185,348
80,9844,208.0,12095,5209
82,170,23.0,252,1068
83,1276,7.0,58,408
84,4248,32.0,183,616
85,26041,95.0,458,1802
86,29,4.0,1,4
87,145,14.0,86,357
88,1320,126.0,1443,2366
91,78,22.0,1208,1748
92,3,,55,97
97,1,2.0,28,82
98,113,5.0,21,52
99,737,31.0,189,667
100,22798,,35610,1466
102,6612,98.0,3397,2335
104,2774,34.0,171,800
105,9954,58.0,279,1132
106,8470,35.0,89,306
107,460,19.0,99,412
108,1056,15.0,26,64
109,1962,,623,3
110,7,3.0,111,138
111,774,28.0,747,2443
112,11413,161.0,2040,10940
113,3513,34.0,83,291
114,98,12.0,204,403
115,1388,12.0,11,64
116,40995,653.0,403,1185
117,462,35.0,546,1134
118,7870,9.0,4,11
119,18580,148.0,347,641
120,1734,16.0,42,36
121,492,4.0,85,165
122,10399,77.0,320,1458
123,14740,353.0,183,491
124,1985,8.0,85,357
125,6633,113.0,299,703
126,282,9.0,23,52
127,16641,50.0,646,1049
128,2934,136.0,441,774
129,2200,31.0,292,178
130,439,29.0,305,254
131,3025,48.0,156,509
132,17530,49.0,281,1033
136,21164,49.0,236,803
137,646,27.0,33,68
139,13068,62.0,442,1171
140,4,2.0,4,10
144,69,,10,10
145,691,14.0,16,32
146,5571,20.0,37,72
148,438,7.0,5,47
150,7277,7.0,6,17
151,145,14.0,86,357
153,9195,78.0,99,318
154,17269,103.0,180,314
155,13581,,18380,199
156,2368,55.0,323,815
157,1576,9.0,22,22
158,2006,42.0,301,823
160,3986,21.0,39,97
161,41,3.0,66,139
162,8126,70.0,291,1455
163,16137,215.0,53,126
164,8761,21.0,1512,1769
165,1247,29.0,65,92
166,3037,81.0,317,1481
167,18,3.0,6,34
169,145,14.0,86,357
170,3131,32.0,91,235
173,8388,46.0,202,1071
174,21667,,241,79
176,2,,15,9
177,2205,53.0,138,1130
178,233,13.0,48,142
180,589,16.0,46,127
181,4635,200.0,264,192
183,14568,389.0,110,249
185,327,3.0,8,18
186,11824,260.0,71,145
187,3692,34.0,47,134
189,33403,78.0,480,2760
190,5728,89.0,811,3454
191,8414,98.0,392,2734
192,4,2.0,4,4
194,972,16.0,10,34
195,410,13.0,77,109
196,514,,1035,1
199,8470,247.0,984,3717
200,5,,18,48
