coin_id,name,percentage
1,C++,65.2
1,Python,19.6
1,C,10.8
1,M4,1.3
1,Shell,1.0
1,Makefile,0.9
1,Other,1.2
2,Go,89.5
2,C,5.1
2,JavaScript,3.3
2,Assembly,0.7
2,Java,0.2
2,Sage,0.2
2,Other,1.0
4,Go,91.6
4,C,4.0
4,JavaScript,2.7
4,Assembly,0.6
4,Java,0.2
4,Sage,0.2
4,Other,0.7
5,C++,73.8
5,C,24.0
5,CMake,0.6
5,Shell,0.3
5,JavaScript,0.2
5,Java,0.2
5,Other,0.9
6,JavaScript,59.7
6,Solidity,21.7
6,TypeScript,18.5
6,Shell,0.1
8,C++,67.5
8,Python,15.8
8,C,10.2
8,M4,2.7
8,Makefile,1.3
8,Shell,0.7
8,Other,1.8
9,Rust,96.2
9,Shell,2.4
9,C,0.9
9,C++,0.2
9,Python,0.1
9,Makefile,0.1
9,Other,0.1
10,Java,99.5
10,Other,0.5
11,Rust,99.2
11,Shell,0.6
11,Ruby,0.1
11,Dockerfile,0.1
11,JavaScript,0.0
11,Handlebars,0.0
13,Go,90.0
13,C,4.7
13,JavaScript,3.1
13,Assembly,0.7
13,Shell,0.3
13,Java,0.2
13,Other,1.0
14,C++,97.4
14,CMake,1.7
14,Java,0.2
14,Python,0.2
14,PHP,0.2
14,C,0.1
14,Other,0.2
15,C++,62.0
15,Python,16.0
15,C,11.2
15,Assembly,6.3
15,M4,1.6
15,Shell,1.1
15,Other,1.8
16,Go,100.0
17,JavaScript,78.9
17,Solidity,21.1
20,Go,99.5
20,Other,0.5
21,C,52.5
21,C++,45.8
21,RPC,0.4
21,M4,0.4
21,Rust,0.4
21,Shell,0.2
21,Other,0.3
22,Go,70.8
22,Solidity,15.9
22,TypeScript,11.7
22,Shell,0.8
22,PLpgSQL,0.6
22,Makefile,0.1
22,Other,0.1
23,Solidity,59.5
23,JavaScript,40.0
23,Makefile,0.5
24,TypeScript,50.6
24,Solidity,47.8
24,Other,1.6
26,C++,81.9
26,C,11.8
26,Python,2.9
26,CMake,2.0
26,Makefile,0.5
26,Shell,0.4
26,Other,0.5
28,Go,91.3
28,C,6.8
28,Java,0.3
28,Sage,0.3
28,Makefile,0.3
28,Assembly,0.3
28,Other,0.7
29,JavaScript,99.2
29,Other,0.8
30,Java,85.2
30,PureBasic,12.0
30,HTML,1.2
30,Solidity,1.1
30,Kotlin,0.3
30,Shell,0.1
30,Other,0.1
31,Rust,89.1
31,Python,3.4
31,Starlark,2.5
31,Shell,2.1
31,Haskell,1.6
31,TypeScript,0.4
31,Other,0.9
32,Go,98.8
32,Shell,0.5
32,Solidity,0.5
32,Makefile,0.1
32,Dockerfile,0.1
32,HTML,0.0
33,Go,75.4
33,TypeScript,8.5
33,Solidity,6.7
33,C,4.6
33,JavaScript,3.0
33,Assembly,0.4
33,Other,1.4
34,JavaScript,70.8
34,Solidity,27.2
34,Shell,1.2
34,Go,0.8
34,Dockerfile,0.0
